linear_examples,quadratic_2,quadratic_5,quadratic_7,quadratic_10,quadratic_15,quadratic_20,quadratic_25,quadratic_30,quadratic_35,quadratic_40
0,0.8667312860488892,0.055388905107975006,0.021989675238728523,0.016554774716496468,0.013252959586679935,0.011579997837543488,0.011500762775540352,0.010229593142867088,0.010329130105674267,0.0087361391633749
2,2.4129624366760254,1.0703952312469482,0.6924992203712463,0.38773754239082336,0.20531240105628967,0.1396898329257965,0.10327668488025665,0.08028068393468857,0.08505469560623169,2.990813970565796
5,2.6147077083587646,1.622249722480774,1.262900948524475,0.8460341095924377,0.5152929425239563,0.36457592248916626,0.3067457377910614,0.2317533642053604,0.2011023759841919,2.6405858993530273
7,2.8567965030670166,1.7917100191116333,1.5118887424468994,1.0244648456573486,0.6490651965141296,0.5137472152709961,0.41857272386550903,0.3248073160648346,2.670628309249878,2.3412866592407227
10,3.149681329727173,2.1904191970825195,1.7422006130218506,1.3527750968933105,1.0079541206359863,0.7564817070960999,0.6277929544448853,0.4742787182331085,2.443068742752075,2.3214337825775146
15,3.2657926082611084,2.661262273788452,2.140760660171509,1.9227495193481445,1.4477795362472534,1.1801953315734863,0.9463726282119751,2.382037878036499,2.225613594055176,2.386186122894287
20,3.438600778579712,2.882333278656006,2.60493803024292,2.453686475753784,1.8147233724594116,1.481442928314209,2.4693992137908936,2.420816421508789,2.459085464477539,2.610358953475952
