linear_examples,quadratic_2,quadratic_4,quadratic_6,quadratic_8,quadratic_10,quadratic_12,quadratic_14,quadratic_16,quadratic_18,quadratic_20
0,0.36524298787117004,0.0935332328081131,0.04103337228298187,0.02983511984348297,0.022315459325909615,0.019940268248319626,0.015919411554932594,0.015537524595856667,0.013781161978840828,0.014856161549687386
2,2.6482582092285156,1.1862250566482544,0.6487039923667908,0.45288196206092834,0.30025750398635864,0.25194239616394043,0.18513204157352448,0.1782025694847107,0.1521725058555603,0.12288739532232285
4,2.5219624042510986,1.4306449890136719,0.928712785243988,0.6666292548179626,0.5082230567932129,0.4121242165565491,0.35605067014694214,0.305542528629303,0.2728809416294098,0.23396402597427368
6,2.3571996688842773,1.4881223440170288,1.0948512554168701,0.8305349349975586,0.668459951877594,0.5471370816230774,0.47179165482521057,0.45601963996887207,0.38495656847953796,0.37023425102233887
8,2.101274013519287,1.5848093032836914,1.2209922075271606,0.9556989669799805,0.7929096221923828,0.7341392636299133,0.6265903115272522,0.600426197052002,0.49386030435562134,0.4726628363132477
10,2.104743003845215,1.6191483736038208,1.2823102474212646,1.1305094957351685,0.9535666108131409,0.8301718831062317,0.7450909614562988,0.6888802647590637,0.6233847737312317,0.58879554271698
12,2.1203861236572266,1.738039493560791,1.4393362998962402,1.1478644609451294,1.0548832416534424,0.9383156299591064,0.8400360941886902,0.8205159306526184,0.7410121560096741,0.6897504329681396
14,2.10715389251709,1.7248051166534424,1.5309008359909058,1.3412448167800903,1.1618698835372925,1.039935827255249,0.9309719204902649,0.8935658931732178,0.8598505854606628,0.7610540390014648
16,2.0489726066589355,1.7892601490020752,1.5035152435302734,1.344466209411621,1.2468774318695068,1.1012250185012817,1.0556129217147827,0.95916748046875,0.9213000535964966,0.8667721152305603
18,2.0231504440307617,1.8014695644378662,1.5866872072219849,1.4571850299835205,1.3039847612380981,1.218846321105957,1.1110413074493408,1.0480825901031494,1.0034582614898682,0.9569616317749023
20,2.0808324813842773,1.7934353351593018,1.7090253829956055,1.493842363357544,1.330256700515747,1.2797340154647827,1.206441879272461,1.1182104349136353,1.0367275476455688,0.9983275532722473
